Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID,Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name,Website Source,Emails
Baylham Care Centre,Upper Street,Baylham,Ipswich,Suffolk,IP6 8JR,01473830267,1-7094083535,1-7424248280,,Suffolk,East,2025-09-11T11:37:32Z,https://www.cqc.org.uk/location/1-7424248280,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Optima HCI Limited,CQC Scrape,
Station Road Surgery,74 Station Road,,West Wickham,Kent,BR4 0PU,02087778245,1-199741808,1-558145329,https://www.srswestwickham.co.uk,Bromley,London,2025-09-11T11:29:38Z,https://www.cqc.org.uk/location/1-558145329,,Services for everyone,"Doctors/GPs,Doctors/GPs",Station Road Surgery,CSV,someone@mydomain.com
Parmar Dental,673 Southchurch Road,,Southend On Sea,Essex,SS1 2PW,01702467133,1-153002151,1-194952397,https://www.parmardental.co.uk,Southend-on-Sea,East,2025-09-11T10:29:07Z,https://www.cqc.org.uk/location/1-194952397,,Services for everyone,Dentist,Mr. Ramesh Parmar,CSV,"southchurch@parmardental.co.uk, leighonsea@parmardental.co.uk"
Blackheath Brain Injury Rehabilitation Centre,80 - 82 Blackheath Hill,,London,,SE10 8AD,02086924007,1-9928054001,1-10204873504,https://www.activecaregroup.co.uk,Lewisham,London,2025-09-11T10:15:23Z,https://www.cqc.org.uk/location/1-10204873504,,"Sensory impairments,Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs,Caring for people whose rights are restricted under the Mental Health Act,Substance misuse problems,Physical disabilities","Hospitals - Mental health/capacity,Rehabilitation (illness/injury)",Active Neuro Limited,CSV,"referrals@activecaregroup.co.uk, references@activecaregroup.co.uk, 20referrals@activecaregroup.co.uk, media@activecaregroup.co.uk, careers@activecaregroup.co.uk, feedback@activecaregroup.co.uk"
Kirkwood Hospice,21 Albany Road,Dalton,Huddersfield,West Yorkshire,HD5 9UY,01484557900,1-101728202,1-115011048,https://www.kirkwoodhospice.co.uk,Kirklees,Yorkshire & Humberside,2025-09-11T10:00:00Z,https://www.cqc.org.uk/location/1-115011048,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Hospice,Kirkwood Hospice,CSV,
New Victoria Nursing Home,137-139 Hornby Road,,Blackpool,Lancashire,FY1 4JG,01253621043,1-101697173,1-126243383,https://www.rhcl.co.uk,Blackpool,North West,2025-09-11T09:55:52Z,https://www.cqc.org.uk/location/1-126243383,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Regency Healthcare Limited,CSV,
Park View Surgery,24-28 Leicester Road,,Loughborough,Leicestershire,LE11 2AG,01509230717,1-199706549,1-548929625,https://www.parkviewsurgery.nhs.uk,Leicestershire,East Midlands,2025-09-11T09:44:40Z,https://www.cqc.org.uk/location/1-548929625,,Services for everyone,"Doctors/GPs,Doctors/GPs",Park View Surgery,CSV,
Elliscombe House,Elliscombe,,Wincanton,,BA9 8EA,0196332746,1-10241322119,1-10398843229,https://www.elliscombehouse.com,Somerset,South West,2025-09-11T09:30:14Z,https://www.cqc.org.uk/location/1-10398843229,,"Sensory impairments,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Ellie Group Ltd,CSV,administrator@elliscombehouse.com
Ambicorp Ltd,Oakham Farm,"Forest Lane, Walesby",Newark,Nottinghamshire,NG22 9PF,01623880988,1-205045904,1-5093344970,,Nottinghamshire,East Midlands,2025-09-11T00:01:00Z,https://www.cqc.org.uk/location/1-5093344970,,Caring for adults under 65 yrs,Ambulances,Ambicorp Ltd,CQC Scrape,
Achievers Care Solutions Limited,Admirals Way,"Victory Way, Admirals Park Crossways","Dartford, Kent",,DA2 5QD,03338807490,1-3310040857,1-16132859906,https://www.achieverscare.com,,,2025-09-10T16:44:23Z,https://www.cqc.org.uk/location/1-16132859906,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities",Homecare agencies,Achievers Care Solutions Limited,CSV,
Dr A K & S Shah,4 Eastwood Road,Goodmayes,Ilford,Essex,IG3 8XB,02085901169,1-199735523,1-568506944,,Redbridge,London,2025-09-10T14:23:43Z,https://www.cqc.org.uk/location/1-568506944,Goodmayes Medical Centre,Services for everyone,"Doctors/GPs,Doctors/GPs",Dr A K & S Shah,CQC Scrape,
Fieldway Care Home,40 Tramway Path,,Mitcham,Surrey,CR4 4SJ,02086483435,1-2953247678,1-3110694038,,Merton,London,2025-09-10T13:27:38Z,https://www.cqc.org.uk/location/1-3110694038,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,HC-One No.1 Limited,CQC Scrape,
Chapel Street Medical Centre,87 Chapel Street,Lye,Stourbridge,West Midlands,DY9 8BT,01384897668,RNA,RNA002,,Dudley,West Midlands,2025-09-10T13:00:00Z,https://www.cqc.org.uk/location/RNA002,,Services for everyone,"Doctors/GPs,Doctors/GPs",The Dudley Group NHS Foundation Trust,CQC Scrape,
Dental Arts - Harrogate,23 Knaresborough Road,,Harrogate,North Yorkshire,HG2 7SR,,1-3023180927,1-4446438250,,North Yorkshire,Yorkshire & Humberside,2025-09-10T12:29:59Z,https://www.cqc.org.uk/location/1-4446438250,Ace Denta Ltd,Services for everyone,Dentist,Ace Denta Ltd,CQC Scrape,
The Hollies Dental Practice,14 Park Street,,Chatteris,Cambridgeshire,PE16 6AF,01354692151,1-152991518,1-188870404,,Cambridgeshire,East,2025-09-10T11:53:40Z,https://www.cqc.org.uk/location/1-188870404,,Services for everyone,Dentist,W & S K Ltd,CQC Scrape,
London Care (Bristol Court),Bristol Court,United Drive,Feltham,,TW14 9AG,02085889921,1-101669407,1-7187144955,,Hounslow,London,2025-09-10T11:49:45Z,https://www.cqc.org.uk/location/1-7187144955,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities",Homecare agencies,London Care Limited,CQC Scrape,
Future Home Care Ltd Kent,"OU1, The Clock House, 3-4",Blighs Road,Sevenoaks,,TN13 1DA,01732876400,1-101655054,1-11673219616,,Kent,South East,2025-09-10T11:30:16Z,https://www.cqc.org.uk/location/1-11673219616,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs","Homecare agencies,Supported living",Future Home Care Ltd,CQC Scrape,
SENSE - 18 Water Gate,Quadring,,Spalding,Lincolnshire,PE11 4PY,01775821957,1-102642607,1-120444572,https://www.sense.org.uk,Lincolnshire,East Midlands,2025-09-10T11:26:31Z,https://www.cqc.org.uk/location/1-120444572,,"Sensory impairments,Learning disabilities,Physical disabilities",Residential homes,Sense,CSV,
Middleton Manor Care Centre,Middleton St George,,Darlington,County Durham,DL2 1TS,01325344970,1-20396371196,1-22079790462,https://www.prestigecaregroup.com,Darlington,North East,2025-09-10T11:08:48Z,https://www.cqc.org.uk/location/1-22079790462,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Prestige Care (Middleton) Limited,CSV,"merlinmanor@prestigegroup.uk.com, parkville@prestigegroup.uk.com, yewtree@prestigegroup.uk.com, middletonmanor@prestigegroup.uk.com, sandbanks@prestigegroup.uk.com, roseville@prestigegroup.uk.com, yewtreegrange@prestigegroup.uk.com, Rachel.Cullen@prestigegroup.uk.com"
Rainbows Hospice for Children and Young People,Lark Rise,,Loughborough,Leicestershire,LE11 2HS,01509638000,1-101728495,1-122038149,https://www.rainbows.co.uk,Leicestershire,East Midlands,2025-09-10T10:55:46Z,https://www.cqc.org.uk/location/1-122038149,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs",Hospice,Cope Children's Trust,CSV,
Howell Medical Group Ltd,57 Rodney Street,,Liverpool,,L1 9ER,01514520485,1-15522548186,1-20397620790,,Liverpool,North West,2025-09-10T10:33:13Z,https://www.cqc.org.uk/location/1-20397620790,,Services for everyone,Doctors/GPs,Howell Medical Group Ltd,CQC Scrape,
